Date;Open;High;Low;Close ;Adj Close ;Volume
;;;;Close price adjusted for splits.;Adjusted close price adjusted for splits and dividend and/or capital gain distributions.;
Feb 6, 2023;6,700.00;6,725.00;6,600.00;6,675.00;5,956.61;5,734,700
Feb 3, 2023;6,625.00;6,725.00;6,600.00;6,700.00;5,978.92;7,031,300
Feb 2, 2023;6,650.00;6,675.00;6,575.00;6,600.00;5,889.68;12,490,700
Feb 1, 2023;6,700.00;6,725.00;6,625.00;6,650.00;5,934.30;6,670,400
Jan 31, 2023;6,800.00;6,850.00;6,650.00;6,725.00;6,001.23;13,151,600
Jan 30, 2023;6,700.00;6,800.00;6,675.00;6,800.00;6,068.15;4,366,900
Jan 27, 2023;6,700.00;6,775.00;6,675.00;6,700.00;5,978.92;11,380,600
Jan 26, 2023;6,800.00;6,850.00;6,700.00;6,700.00;5,978.92;7,859,300
Jan 25, 2023;6,925.00;6,950.00;6,800.00;6,800.00;6,068.15;4,065,400
Jan 24, 2023;6,875.00;6,925.00;6,825.00;6,925.00;6,179.70;2,858,200
Jan 20, 2023;6,875.00;6,900.00;6,775.00;6,875.00;6,135.08;8,859,000
Jan 19, 2023;6,900.00;6,950.00;6,850.00;6,875.00;6,135.08;5,746,900
Jan 18, 2023;6,825.00;6,950.00;6,800.00;6,950.00;6,202.01;8,657,000
Jan 17, 2023;6,725.00;6,875.00;6,700.00;6,825.00;6,090.46;10,513,800
Jan 16, 2023;6,675.00;6,725.00;6,625.00;6,700.00;5,978.92;5,525,400
Jan 13, 2023;6,625.00;6,700.00;6,500.00;6,700.00;5,978.92;10,145,600
Jan 12, 2023;6,675.00;6,700.00;6,600.00;6,625.00;5,911.99;5,670,600
Jan 11, 2023;6,675.00;6,725.00;6,525.00;6,675.00;5,956.61;8,614,300
Jan 10, 2023;6,900.00;6,900.00;6,600.00;6,675.00;5,956.61;14,808,700
Jan 9, 2023;6,950.00;7,000.00;6,800.00;6,950.00;6,202.01;6,662,300
Jan 6, 2023;6,850.00;6,950.00;6,725.00;6,950.00;6,202.01;6,807,500
Jan 5, 2023;6,875.00;6,875.00;6,775.00;6,850.00;6,112.77;7,888,600
Jan 4, 2023;6,750.00;6,925.00;6,750.00;6,850.00;6,112.77;5,506,500
Jan 3, 2023;6,750.00;6,850.00;6,750.00;6,750.00;6,023.54;3,939,000
Jan 2, 2023;6,725.00;6,825.00;6,725.00;6,775.00;6,045.85;1,627,200
Dec 30, 2022;6,800.00;6,800.00;6,700.00;6,725.00;6,001.23;3,503,600
Dec 29, 2022;6,700.00;6,800.00;6,700.00;6,800.00;6,068.15;4,037,800
Dec 28, 2022;6,800.00;6,850.00;6,675.00;6,725.00;6,001.23;5,291,600
Dec 27, 2022;6,875.00;6,900.00;6,800.00;6,800.00;6,068.15;1,878,100
Dec 26, 2022;6,775.00;6,875.00;6,775.00;6,875.00;6,135.08;1,596,500
Dec 23, 2022;6,800.00;6,875.00;6,750.00;6,825.00;6,090.46;3,652,000
Dec 22, 2022;6,900.00;6,925.00;6,800.00;6,800.00;6,068.15;3,586,200
Dec 21, 2022;6,975.00;6,975.00;6,850.00;6,900.00;6,157.39;2,354,800
Dec 20, 2022;6,975.00;6,975.00;6,850.00;6,975.00;6,224.32;4,376,800
Dec 19, 2022;6,950.00;7,000.00;6,850.00;7,000.00;6,246.63;7,004,500
Dec 16, 2022;6,950.00;7,000.00;6,900.00;6,950.00;6,202.01;18,611,800
Dec 15, 2022;6,950.00;7,000.00;6,900.00;6,975.00;6,224.32;7,323,000
Dec 14, 2022;6,925.00;7,000.00;6,900.00;6,950.00;6,202.01;8,285,900
Dec 13, 2022;6,975.00;6,975.00;6,850.00;6,925.00;6,179.70;6,947,300
Dec 12, 2022;6,925.00;7,000.00;6,825.00;6,975.00;6,224.32;11,385,900
Dec 9, 2022;6,875.00;6,950.00;6,825.00;6,925.00;6,179.70;13,036,900
Dec 8, 2022;6,850.00;6,900.00;6,750.00;6,900.00;6,157.39;12,426,900
